sim_time,phase_index,phase_state,total_queue_length,max_queue_length,vehicle_count,avg_waiting_time,queue_north_to_center_0,queue_north_to_center_1,queue_east_to_center_0,queue_east_to_center_1,queue_south_to_center_0,queue_south_to_center_1,queue_west_to_center_0,queue_west_to_center_1
0,0,GGGgGGGgrrrrrrrr,0,0,3,0.0,0,0,0,0,0,0,0,0
1,0,GGGgGGGgrrrrrrrr,0,0,3,0.0,0,0,0,0,0,0,0,0
2,0,GGGgGGGgrrrrrrrr,0,0,5,0.0,0,0,0,0,0,0,0,0
3,0,GGGgGGGgrrrrrrrr,0,0,7,0.0,0,0,0,0,0,0,0,0
4,0,GGGgGGGgrrrrrrrr,0,0,8,0.0,0,0,0,0,0,0,0,0
5,0,GGGgGGGgrrrrrrrr,0,0,10,0.0,0,0,0,0,0,0,0,0
6,0,GGGgGGGgrrrrrrrr,0,0,11,0.0,0,0,0,0,0,0,0,0
7,0,GGGgGGGgrrrrrrrr,0,0,13,0.0,0,0,0,0,0,0,0,0
8,0,GGGgGGGgrrrrrrrr,0,0,13,0.0,0,0,0,0,0,0,0,0
9,0,GGGgGGGgrrrrrrrr,0,0,14,0.0,0,0,0,0,0,0,0,0
10,0,GGGgGGGgrrrrrrrr,0,0,15,0.0,0,0,0,0,0,0,0,0
11,0,GGGgGGGgrrrrrrrr,0,0,16,0.0,0,0,0,0,0,0,0,0
12,0,GGGgGGGgrrrrrrrr,0,0,17,0.0,0,0,0,0,0,0,0,0
13,0,GGGgGGGgrrrrrrrr,0,0,18,0.0,0,0,0,0,0,0,0,0
14,0,GGGgGGGgrrrrrrrr,0,0,18,0.0,0,0,0,0,0,0,0,0
15,0,GGGgGGGgrrrrrrrr,0,0,20,0.0,0,0,0,0,0,0,0,0
16,0,GGGgGGGgrrrrrrrr,0,0,21,0.0,0,0,0,0,0,0,0,0
17,0,GGGgGGGgrrrrrrrr,0,0,23,0.0,0,0,0,0,0,0,0,0
18,0,GGGgGGGgrrrrrrrr,0,0,26,0.0,0,0,0,0,0,0,0,0
19,0,GGGgGGGgrrrrrrrr,0,0,27,0.0,0,0,0,0,0,0,0,0
20,0,GGGgGGGgrrrrrrrr,0,0,31,0.0,0,0,0,0,0,0,0,0
21,0,GGGgGGGgrrrrrrrr,1,1,32,0.03,0,0,0,0,0,0,0,1
22,0,GGGgGGGgrrrrrrrr,1,1,35,0.06,0,0,0,0,0,0,0,1
23,0,GGGgGGGgrrrrrrrr,1,1,36,0.08,0,0,0,0,0,0,0,1
24,0,GGGgGGGgrrrrrrrr,4,2,37,0.19,0,0,0,0,1,0,1,2
25,0,GGGgGGGgrrrrrrrr,4,2,38,0.29,0,0,0,0,1,0,1,2
26,0,GGGgGGGgrrrrrrrr,4,2,42,0.36,0,0,0,0,1,0,1,2
27,0,GGGgGGGgrrrrrrrr,4,2,42,0.45,0,0,0,0,1,0,1,2
28,0,GGGgGGGgrrrrrrrr,4,2,44,0.52,0,0,0,0,1,0,1,2
29,0,GGGgGGGgrrrrrrrr,5,2,44,0.64,0,0,0,0,1,0,2,2
30,0,GGGgGGGgrrrrrrrr,7,2,46,0.76,0,0,0,0,2,1,2,2
31,1,yyyyyyyyrrrrrrrr,7,2,49,0.86,0,0,0,0,2,1,2,2
32,1,yyyyyyyyrrrrrrrr,7,2,49,1.0,0,0,0,0,2,1,2,2
33,1,yyyyyyyyrrrrrrrr,8,3,51,1.12,0,0,0,0,2,1,3,2
34,1,yyyyyyyyrrrrrrrr,8,3,53,1.23,0,0,0,0,2,1,3,2
35,2,rrrrrrrrGGGgGGGg,5,2,54,0.54,1,0,0,0,1,0,2,1
36,2,rrrrrrrrGGGgGGGg,4,1,54,0.15,1,0,0,1,0,0,1,1
37,2,rrrrrrrrGGGgGGGg,2,1,56,0.09,1,0,0,1,0,0,0,0
38,2,rrrrrrrrGGGgGGGg,2,1,56,0.12,1,0,0,1,0,0,0,0
39,2,rrrrrrrrGGGgGGGg,3,2,57,0.19,2,0,0,1,0,0,0,0
40,2,rrrrrrrrGGGgGGGg,4,3,58,0.28,3,0,0,1,0,0,0,0
41,2,rrrrrrrrGGGgGGGg,5,3,60,0.38,3,0,0,1,0,0,0,1
42,2,rrrrrrrrGGGgGGGg,7,3,62,0.48,3,1,0,1,0,0,0,2
43,2,rrrrrrrrGGGgGGGg,8,3,61,0.64,3,1,0,1,0,0,0,3
44,2,rrrrrrrrGGGgGGGg,11,5,61,0.84,5,2,0,1,0,0,0,3
45,2,rrrrrrrrGGGgGGGg,12,5,60,1.07,5,3,0,1,0,0,0,3
46,2,rrrrrrrrGGGgGGGg,12,5,60,1.28,5,3,0,1,0,0,0,3
47,2,rrrrrrrrGGGgGGGg,13,5,60,1.53,5,3,0,1,0,0,0,4
48,2,rrrrrrrrGGGgGGGg,14,5,59,1.8,5,4,0,1,0,0,0,4
49,2,rrrrrrrrGGGgGGGg,15,5,60,2.03,5,4,0,1,0,0,0,5
50,2,rrrrrrrrGGGgGGGg,17,5,62,2.26,5,5,1,1,0,0,0,5
51,2,rrrrrrrrGGGgGGGg,18,5,62,2.56,5,5,1,2,0,0,0,5
52,2,rrrrrrrrGGGgGGGg,19,6,63,2.84,6,5,1,2,0,0,0,5
53,2,rrrrrrrrGGGgGGGg,21,6,64,3.14,6,5,2,2,0,0,0,6
54,2,rrrrrrrrGGGgGGGg,22,6,65,3.46,6,5,2,2,0,1,0,6
55,2,rrrrrrrrGGGgGGGg,24,6,66,3.77,6,6,2,2,1,1,0,6
56,2,rrrrrrrrGGGgGGGg,25,6,65,4.22,6,6,2,2,1,2,0,6
57,2,rrrrrrrrGGGgGGGg,26,7,66,4.55,7,6,2,3,0,2,0,6
58,2,rrrrrrrrGGGgGGGg,27,7,66,4.97,7,6,2,3,0,3,1,5
59,2,rrrrrrrrGGGgGGGg,27,7,67,5.22,7,6,2,3,0,4,0,5
60,2,rrrrrrrrGGGgGGGg,29,7,67,5.67,7,6,3,4,0,4,0,5
61,2,rrrrrrrrGGGgGGGg,31,7,68,6.07,7,7,3,4,0,5,0,5
62,2,rrrrrrrrGGGgGGGg,32,7,70,6.36,7,7,3,4,1,5,0,5
63,2,rrrrrrrrGGGgGGGg,31,7,70,6.8,7,7,3,4,0,5,0,5
64,2,rrrrrrrrGGGgGGGg,31,7,69,7.36,7,7,3,4,0,5,0,5
65,2,rrrrrrrrGGGgGGGg,32,8,68,7.96,7,8,3,4,0,5,0,5
66,3,rrrrrrrryyyyyyyy,34,8,70,7.83,7,8,3,4,1,5,1,5
67,3,rrrrrrrryyyyyyyy,36,9,70,8.34,7,9,3,4,1,5,1,6
68,3,rrrrrrrryyyyyyyy,38,9,71,8.76,8,9,3,4,1,5,2,6
69,3,rrrrrrrryyyyyyyy,40,9,72,9.19,8,9,4,4,2,5,2,6
70,0,GGGgGGGgrrrrrrrr,39,8,72,8.11,7,8,3,3,3,6,3,6
71,0,GGGgGGGgrrrrrrrr,36,7,73,7.16,7,7,2,2,3,6,4,5
72,0,GGGgGGGgrrrrrrrr,34,7,73,6.4,6,6,1,1,4,7,4,5
73,0,GGGgGGGgrrrrrrrr,32,7,73,5.89,6,5,0,0,5,7,4,5
74,0,GGGgGGGgrrrrrrrr,33,8,73,5.6,5,6,0,0,5,8,4,5
75,0,GGGgGGGgrrrrrrrr,32,8,76,5.21,5,4,0,1,5,8,4,5
76,0,GGGgGGGgrrrrrrrr,34,8,77,5.14,4,5,0,1,6,8,5,5
77,0,GGGgGGGgrrrrrrrr,32,8,80,5.08,3,4,0,1,6,8,5,5
78,0,GGGgGGGgrrrrrrrr,30,8,80,5.22,2,2,0,2,6,8,5,5
79,0,GGGgGGGgrrrrrrrr,32,9,81,5.52,3,1,0,3,6,9,5,5
80,0,GGGgGGGgrrrrrrrr,31,9,81,5.79,3,0,0,3,6,9,5,5
81,0,GGGgGGGgrrrrrrrr,33,9,85,5.85,2,1,0,3,7,9,5,6
82,0,GGGgGGGgrrrrrrrr,34,9,86,6.14,2,1,0,3,8,9,5,6
83,0,GGGgGGGgrrrrrrrr,33,9,87,6.44,2,0,0,3,8,9,5,6
84,0,GGGgGGGgrrrrrrrr,34,9,87,6.84,3,0,0,3,8,9,5,6
85,0,GGGgGGGgrrrrrrrr,37,10,88,7.19,4,0,0,3,8,10,5,7
86,0,GGGgGGGgrrrrrrrr,38,10,90,7.47,5,0,0,3,8,10,5,7
87,0,GGGgGGGgrrrrrrrr,37,10,88,7.99,4,0,0,3,8,10,5,7
88,0,GGGgGGGgrrrrrrrr,39,10,88,8.38,4,0,1,2,9,10,6,7
89,0,GGGgGGGgrrrrrrrr,38,10,90,8.46,3,0,0,2,9,10,6,8
90,0,GGGgGGGgrrrrrrrr,38,10,91,8.74,3,0,0,2,9,10,6,8
91,0,GGGgGGGgrrrrrrrr,39,10,91,9.12,3,0,0,2,10,10,6,8
92,0,GGGgGGGgrrrrrrrr,39,10,91,9.52,2,1,1,1,10,10,6,8
93,0,GGGgGGGgrrrrrrrr,41,11,92,9.67,2,1,0,1,11,11,7,8
94,0,GGGgGGGgrrrrrrrr,44,11,91,10.24,3,2,0,1,11,11,7,9
95,0,GGGgGGGgrrrrrrrr,46,12,93,10.52,3,3,0,1,12,11,7,9
96,0,GGGgGGGgrrrrrrrr,47,12,93,11.01,2,3,0,1,12,12,7,10
97,0,GGGgGGGgrrrrrrrr,48,12,94,11.39,1,4,0,1,12,12,8,10
98,0,GGGgGGGgrrrrrrrr,50,12,93,12.01,3,4,0,1,12,12,8,10
99,0,GGGgGGGgrrrrrrrr,51,12,94,12.41,2,4,0,2,12,12,9,10
100,0,GGGgGGGgrrrrrrrr,51,12,94,12.95,1,5,0,2,12,12,9,10
101,1,yyyyyyyyrrrrrrrr,54,13,94,13.21,1,6,0,2,13,13,9,10
102,1,yyyyyyyyrrrrrrrr,55,13,95,13.65,1,7,0,2,13,13,9,10
103,1,yyyyyyyyrrrrrrrr,56,13,96,14.09,2,7,0,2,13,13,9,10
104,1,yyyyyyyyrrrrrrrr,58,13,95,14.85,2,8,1,2,13,13,9,10
105,2,rrrrrrrrGGGgGGGg,56,14,96,13.79,3,8,0,2,12,14,8,9
106,2,rrrrrrrrGGGgGGGg,56,14,97,12.8,3,9,1,2,12,14,7,8
107,2,rrrrrrrrGGGgGGGg,54,14,96,12.07,4,9,1,2,11,14,6,7
108,2,rrrrrrrrGGGgGGGg,55,14,96,11.27,5,10,2,2,11,14,5,6
109,2,rrrrrrrrGGGgGGGg,54,15,94,10.72,6,10,2,2,10,15,4,5
110,2,rrrrrrrrGGGgGGGg,54,15,96,10.14,6,11,2,2,10,15,3,5
111,2,rrrrrrrrGGGgGGGg,53,15,96,9.89,7,12,2,2,9,15,2,4
112,2,rrrrrrrrGGGgGGGg,51,15,98,9.5,8,13,2,2,7,15,1,3
113,2,rrrrrrrrGGGgGGGg,51,16,98,9.41,8,14,2,3,6,16,0,2
114,2,rrrrrrrrGGGgGGGg,50,16,97,9.6,9,14,2,3,5,16,0,1
115,2,rrrrrrrrGGGgGGGg,48,16,98,9.77,9,14,2,3,3,16,1,0
116,2,rrrrrrrrGGGgGGGg,49,16,99,9.97,10,14,2,3,3,16,1,0
117,2,rrrrrrrrGGGgGGGg,50,17,102,10.12,10,14,2,3,4,17,0,0
118,2,rrrrrrrrGGGgGGGg,52,17,104,10.28,11,14,2,3,4,17,0,1
119,2,rrrrrrrrGGGgGGGg,52,17,104,10.62,11,14,2,3,4,17,0,1
120,2,rrrrrrrrGGGgGGGg,54,17,105,10.97,13,14,2,3,3,17,0,2
121,2,rrrrrrrrGGGgGGGg,54,17,106,11.36,13,14,2,3,2,17,0,3
122,2,rrrrrrrrGGGgGGGg,54,17,106,11.85,13,14,2,3,2,17,0,3
123,2,rrrrrrrrGGGgGGGg,55,17,108,12.12,13,14,2,3,2,17,0,4
124,2,rrrrrrrrGGGgGGGg,55,17,109,12.5,13,14,2,3,1,17,0,5
125,2,rrrrrrrrGGGgGGGg,57,17,108,12.5,13,15,2,3,1,17,0,6
126,2,rrrrrrrrGGGgGGGg,57,16,111,12.05,13,15,2,3,1,16,0,7
127,2,rrrrrrrrGGGgGGGg,58,15,112,11.82,14,15,2,3,2,15,0,7
128,2,rrrrrrrrGGGgGGGg,55,15,115,11.36,14,15,2,3,1,13,0,7
129,2,rrrrrrrrGGGgGGGg,56,15,115,11.25,15,15,3,3,0,12,0,8
130,2,rrrrrrrrGGGgGGGg,56,16,114,11.32,15,16,3,3,0,11,0,8
131,2,rrrrrrrrGGGgGGGg,55,16,114,11.3,15,16,3,3,0,10,0,8
132,2,rrrrrrrrGGGgGGGg,59,16,113,11.42,16,16,3,3,1,11,0,9
133,2,rrrrrrrrGGGgGGGg,60,17,114,11.38,16,17,3,3,2,10,0,9
134,2,rrrrrrrrGGGgGGGg,59,17,114,11.47,16,17,3,3,2,9,0,9
135,2,rrrrrrrrGGGgGGGg,60,17,113,12.12,16,17,3,3,2,9,0,10
136,3,rrrrrrrryyyyyyyy,60,17,112,12.38,16,17,3,3,3,8,1,9
137,3,rrrrrrrryyyyyyyy,59,18,112,12.5,17,18,3,3,3,7,0,8
138,3,rrrrrrrryyyyyyyy,61,18,112,12.73,17,18,3,4,4,7,0,8
139,3,rrrrrrrryyyyyyyy,64,19,115,12.68,18,19,3,4,5,7,0,8
140,0,GGGgGGGgrrrrrrrr,62,19,116,12.0,18,19,2,3,5,7,1,7
141,0,GGGgGGGgrrrrrrrr,61,19,116,11.51,19,19,1,2,5,7,1,7
142,0,GGGgGGGgrrrrrrrr,60,19,117,11.33,19,19,1,1,7,5,1,7
143,0,GGGgGGGgrrrrrrrr,63,20,117,11.81,19,20,2,0,8,5,2,7
144,0,GGGgGGGgrrrrrrrr,63,20,119,12.03,19,20,2,0,8,4,3,7
145,0,GGGgGGGgrrrrrrrr,64,20,120,12.35,19,20,3,0,8,3,3,8
146,0,GGGgGGGgrrrrrrrr,68,20,121,12.5,19,20,4,1,8,3,4,9
147,0,GGGgGGGgrrrrrrrr,68,20,121,12.68,18,20,4,2,9,2,4,9
148,0,GGGgGGGgrrrrrrrr,68,19,121,12.38,17,19,4,2,10,2,6,8
149,0,GGGgGGGgrrrrrrrr,67,18,121,12.07,16,18,5,3,11,2,5,7
150,0,GGGgGGGgrrrrrrrr,68,18,121,11.76,15,18,4,4,12,2,6,7
151,0,GGGgGGGgrrrrrrrr,67,17,121,11.45,15,17,3,4,12,3,6,7
152,0,GGGgGGGgrrrrrrrr,67,17,122,11.08,14,17,2,4,13,4,6,7
153,0,GGGgGGGgrrrrrrrr,68,16,126,10.48,13,16,1,4,14,5,7,8
154,0,GGGgGGGgrrrrrrrr,67,15,126,10.23,13,15,0,4,15,5,7,8
155,0,GGGgGGGgrrrrrrrr,66,15,127,9.95,12,14,0,4,15,6,7,8
156,0,GGGgGGGgrrrrrrrr,67,16,127,9.78,12,13,0,4,16,7,7,8
157,0,GGGgGGGgrrrrrrrr,66,16,127,10.0,11,13,0,4,16,7,7,8
158,0,GGGgGGGgrrrrrrrr,67,17,127,9.84,11,12,0,4,17,8,7,8
159,0,GGGgGGGgrrrrrrrr,67,18,128,9.62,10,11,0,4,18,9,7,8
160,0,GGGgGGGgrrrrrrrr,68,19,130,9.38,9,10,0,5,19,10,7,8
161,0,GGGgGGGgrrrrrrrr,69,19,130,9.28,9,10,0,5,19,11,7,8
162,0,GGGgGGGgrrrrrrrr,70,20,131,9.14,9,9,0,5,20,12,7,8
163,0,GGGgGGGgrrrrrrrr,71,21,133,9.53,10,8,0,5,21,12,7,8
164,0,GGGgGGGgrrrrrrrr,72,21,135,9.44,10,7,1,4,21,13,8,8
165,0,GGGgGGGgrrrrrrrr,72,21,135,9.5,10,7,0,4,21,13,8,9
166,0,GGGgGGGgrrrrrrrr,74,22,136,9.55,9,6,0,4,22,14,9,10
167,0,GGGgGGGgrrrrrrrr,75,22,138,9.63,10,6,0,4,22,14,9,10
168,0,GGGgGGGgrrrrrrrr,75,22,138,9.97,10,5,0,4,22,15,9,10
169,0,GGGgGGGgrrrrrrrr,77,22,137,10.31,11,4,0,4,22,16,10,10
170,0,GGGgGGGgrrrrrrrr,78,22,137,10.72,10,5,0,4,22,17,10,10
171,1,yyyyyyyyrrrrrrrr,81,23,138,10.89,10,5,1,4,23,17,11,10
172,1,yyyyyyyyrrrrrrrr,83,24,140,11.15,11,6,0,3,24,18,11,10
173,1,yyyyyyyyrrrrrrrr,83,24,140,11.74,11,5,0,3,24,19,11,10
174,1,yyyyyyyyrrrrrrrr,86,24,142,12.18,12,6,0,3,24,20,11,10
175,2,rrrrrrrrGGGgGGGg,85,23,142,11.63,12,7,1,3,23,20,10,9
176,2,rrrrrrrrGGGgGGGg,85,22,143,11.02,13,8,1,4,22,19,9,9
177,2,rrrrrrrrGGGgGGGg,83,21,144,10.44,14,8,3,3,21,18,8,8
178,2,rrrrrrrrGGGgGGGg,81,20,142,10.06,14,9,2,3,20,18,8,7
179,2,rrrrrrrrGGGgGGGg,79,20,143,9.48,15,9,2,3,20,17,7,6
180,2,rrrrrrrrGGGgGGGg,78,19,145,8.88,16,10,2,3,19,17,6,5
181,2,rrrrrrrrGGGgGGGg,77,19,146,8.35,16,11,2,3,19,17,5,4
182,2,rrrrrrrrGGGgGGGg,77,19,147,8.07,17,11,3,4,19,16,4,3
183,2,rrrrrrrrGGGgGGGg,76,18,149,7.95,18,11,3,4,17,17,4,2
184,2,rrrrrrrrGGGgGGGg,75,18,149,7.82,18,12,4,4,16,17,3,1
185,2,rrrrrrrrGGGgGGGg,75,19,150,7.94,19,13,4,4,16,17,2,0
186,2,rrrrrrrrGGGgGGGg,76,20,152,8.0,20,13,4,4,16,18,1,0
187,2,rrrrrrrrGGGgGGGg,77,20,152,8.05,20,14,4,4,16,18,0,1
188,2,rrrrrrrrGGGgGGGg,79,21,156,7.91,21,15,4,4,16,17,1,1
189,2,rrrrrrrrGGGgGGGg,80,22,155,8.05,22,16,4,4,15,17,0,2
190,2,rrrrrrrrGGGgGGGg,81,22,155,8.37,22,17,4,4,17,15,0,2
191,2,rrrrrrrrGGGgGGGg,83,23,154,8.56,23,18,4,4,18,14,0,2
192,2,rrrrrrrrGGGgGGGg,84,24,155,8.61,24,18,4,4,18,13,1,2
193,2,rrrrrrrrGGGgGGGg,85,25,155,8.75,25,18,5,5,17,13,0,2
194,2,rrrrrrrrGGGgGGGg,86,26,155,8.86,26,19,5,6,16,12,1,1
195,2,rrrrrrrrGGGgGGGg,82,26,158,8.77,26,19,5,6,15,11,0,0
196,2,rrrrrrrrGGGgGGGg,84,27,159,8.99,27,20,5,6,14,11,0,1
197,2,rrrrrrrrGGGgGGGg,82,27,158,9.15,27,21,5,6,12,10,0,1
198,2,rrrrrrrrGGGgGGGg,82,27,160,9.18,27,21,5,7,11,9,0,2
199,2,rrrrrrrrGGGgGGGg,80,27,160,9.5,27,22,5,7,10,8,0,1
200,2,rrrrrrrrGGGgGGGg,78,27,160,9.66,27,23,5,7,9,6,0,1
201,2,rrrrrrrrGGGgGGGg,80,27,161,9.77,27,24,5,7,9,6,0,2
202,2,rrrrrrrrGGGgGGGg,81,28,164,9.93,28,25,5,7,8,5,0,3
203,2,rrrrrrrrGGGgGGGg,80,28,165,10.08,28,25,5,7,7,5,0,3
204,2,rrrrrrrrGGGgGGGg,80,28,164,10.41,28,25,5,8,6,4,0,4
205,2,rrrrrrrrGGGgGGGg,81,28,165,10.65,28,27,6,8,5,3,0,4
206,3,rrrrrrrryyyyyyyy,84,29,164,11.05,29,27,7,8,5,3,0,5
207,3,rrrrrrrryyyyyyyy,83,29,164,11.46,29,28,7,8,4,2,0,5
208,3,rrrrrrrryyyyyyyy,87,29,164,11.91,29,29,7,8,4,3,0,7
209,3,rrrrrrrryyyyyyyy,85,29,165,12.32,29,29,7,8,3,2,0,7
210,0,GGGgGGGgrrrrrrrr,84,29,165,11.9,28,29,6,7,3,3,1,7
211,0,GGGgGGGgrrrrrrrr,84,29,166,11.43,27,29,5,6,3,4,2,8
212,0,GGGgGGGgrrrrrrrr,85,29,167,11.01,26,29,4,6,5,4,2,9
213,0,GGGgGGGgrrrrrrrr,84,29,167,10.85,26,29,3,5,5,5,2,9
214,0,GGGgGGGgrrrrrrrr,86,29,166,10.88,26,29,2,5,5,6,3,10
215,0,GGGgGGGgrrrrrrrr,86,29,166,10.88,25,29,1,4,7,6,3,11
216,0,GGGgGGGgrrrrrrrr,86,29,166,10.9,24,29,1,3,8,7,4,10
217,0,GGGgGGGgrrrrrrrr,86,29,166,11.02,22,29,0,3,8,8,5,11
218,0,GGGgGGGgrrrrrrrr,89,29,169,11.02,21,29,0,4,9,8,6,12
219,0,GGGgGGGgrrrrrrrr,90,29,170,11.45,21,29,0,3,10,9,6,12
220,0,GGGgGGGgrrrrrrrr,90,29,172,11.54,20,29,0,3,10,9,7,12
221,0,GGGgGGGgrrrrrrrr,93,29,173,11.74,20,29,0,3,11,10,9,11
222,0,GGGgGGGgrrrrrrrr,92,29,174,11.9,19,29,0,4,11,10,8,11
223,0,GGGgGGGgrrrrrrrr,98,30,173,12.26,19,30,0,5,13,11,9,11
224,0,GGGgGGGgrrrrrrrr,100,30,172,12.64,19,30,0,6,13,11,10,11
225,0,GGGgGGGgrrrrrrrr,101,30,172,13.23,18,30,0,6,14,12,10,11
226,0,GGGgGGGgrrrrrrrr,103,31,171,13.64,17,31,0,6,15,13,10,11
227,0,GGGgGGGgrrrrrrrr,104,31,172,13.89,16,31,0,7,14,14,11,11
228,0,GGGgGGGgrrrrrrrr,105,31,172,14.24,15,31,0,7,15,15,11,11
229,0,GGGgGGGgrrrrrrrr,106,31,172,14.59,14,31,0,8,16,15,11,11
230,0,GGGgGGGgrrrrrrrr,107,31,172,14.96,13,31,0,8,17,16,11,11
231,0,GGGgGGGgrrrrrrrr,110,31,173,15.51,13,31,0,9,18,17,11,11
232,0,GGGgGGGgrrrrrrrr,109,31,173,15.88,12,31,0,9,18,17,11,11
233,0,GGGgGGGgrrrrrrrr,111,31,173,16.27,11,31,0,9,19,19,11,11
234,0,GGGgGGGgrrrrrrrr,112,31,174,16.56,10,31,0,9,20,19,11,12
235,0,GGGgGGGgrrrrrrrr,114,31,174,17.22,10,31,0,9,21,20,11,12
236,0,GGGgGGGgrrrrrrrr,117,32,176,17.44,9,32,0,9,22,21,12,12
237,0,GGGgGGGgrrrrrrrr,117,32,177,17.75,8,32,0,9,22,22,12,12
238,0,GGGgGGGgrrrrrrrr,116,32,176,18.26,7,32,0,9,22,22,12,12
239,0,GGGgGGGgrrrrrrrr,119,32,178,18.47,7,32,0,9,24,23,12,12
240,0,GGGgGGGgrrrrrrrr,119,32,177,19.01,6,32,0,9,24,23,12,13
241,1,yyyyyyyyrrrrrrrr,122,32,178,19.44,7,32,0,9,25,24,12,13
242,1,yyyyyyyyrrrrrrrr,121,32,178,19.89,6,32,0,9,25,24,12,13
243,1,yyyyyyyyrrrrrrrr,123,32,178,20.37,6,32,0,9,26,25,12,13
244,1,yyyyyyyyrrrrrrrr,125,32,180,20.71,6,32,0,9,26,27,12,13
245,2,rrrrrrrrGGGgGGGg,121,32,181,20.24,5,32,0,9,27,25,11,12
246,2,rrrrrrrrGGGgGGGg,122,32,181,20.05,6,32,1,9,26,27,10,11
247,2,rrrrrrrrGGGgGGGg,122,32,181,19.95,6,32,2,9,26,28,9,10
248,2,rrrrrrrrGGGgGGGg,120,32,180,20.11,6,32,2,9,26,28,8,9
249,2,rrrrrrrrGGGgGGGg,121,32,182,19.94,7,32,3,9,25,30,7,8
250,2,rrrrrrrrGGGgGGGg,120,32,183,19.89,8,32,4,9,25,29,6,7
251,2,rrrrrrrrGGGgGGGg,122,32,183,19.97,8,32,4,9,26,31,6,6
252,2,rrrrrrrrGGGgGGGg,121,32,183,20.04,9,32,5,9,24,31,5,6
253,2,rrrrrrrrGGGgGGGg,121,32,183,20.11,9,32,6,9,24,32,4,5
254,2,rrrrrrrrGGGgGGGg,119,32,183,20.17,10,32,6,9,23,32,3,4
255,2,rrrrrrrrGGGgGGGg,117,32,183,20.44,10,32,6,10,22,32,2,3
256,2,rrrrrrrrGGGgGGGg,118,32,182,21.02,11,32,7,10,21,32,2,3
257,2,rrrrrrrrGGGgGGGg,116,32,183,21.1,12,32,7,10,20,32,1,2
258,2,rrrrrrrrGGGgGGGg,113,32,183,21.39,12,32,7,10,19,32,0,1
259,2,rrrrrrrrGGGgGGGg,112,32,183,21.78,13,32,7,10,18,32,0,0
260,2,rrrrrrrrGGGgGGGg,114,32,183,22.23,14,32,8,11,17,32,0,0
261,2,rrrrrrrrGGGgGGGg,114,32,184,22.55,15,32,8,11,16,32,0,0
262,2,rrrrrrrrGGGgGGGg,113,32,183,23.12,15,32,8,11,15,32,0,0
263,2,rrrrrrrrGGGgGGGg,115,32,182,23.88,16,32,9,11,15,32,0,0
264,2,rrrrrrrrGGGgGGGg,116,32,182,24.34,17,32,9,12,14,32,0,0
265,2,rrrrrrrrGGGgGGGg,117,32,183,24.68,18,32,9,12,13,32,0,1
266,2,rrrrrrrrGGGgGGGg,119,32,182,25.3,19,32,10,12,13,32,0,1
267,2,rrrrrrrrGGGgGGGg,120,32,181,25.93,19,32,11,12,12,32,0,2
268,2,rrrrrrrrGGGgGGGg,121,32,180,26.57,19,32,11,12,12,32,0,3
269,2,rrrrrrrrGGGgGGGg,122,32,180,27.09,20,32,11,12,12,32,0,3
